Facies,Sample,Area,Comment,Mineral,Texture,Al,Ta,Ti,Mn,Mg,Fe,Sn,Ca,Nb,Total
SAPN,BU04,Ore2,BU04-Rut2.1,,patchy,15.80819144,2.784466098,15.25710599,0.010455062,0.016824286,2.736105469,0.575214817,0,2.362731263,39.55109442
SAPN,BU04,Ore2,BU04-Rut2.2,Rutile,rim,0.197933164,13.84043443,36.6410341,0.06714473,0,5.86863531,1.409878849,0,7.92703329,65.95209387
SAPN,BU04,Ore2,BU04-Rut2.3,Rutile,core,0.19835655,8.672792934,40.4598068,0.016882989,0,5.083559593,1.528025121,0,9.045485959,65.00490994
SAPN,BU04,Ore2,BU04-Rut2.4,,rim,25.13857026,0.476471287,1.08508298,0.010764841,0.002110574,0.260785052,0.031899494,0,0.321205626,27.32689011
SAPN,BU04,Ore2,BU04-Ore2_coltan1 ,,rim,1.28,15.79,23.04,1.85,0,5.77,1.23,0.0245,15.53,64.5146
PAPN,BU19TS(1),Ore1,BU19TS(1)-rutile1.1,,rim,16.32154751,1.81809257,15.52088306,0.121588496,0.041849658,0.876331053,0.231409165,0,0.2420751,35.17377661
PAPN,BU19TS(1),Ore1,BU19TS(1)-rutile1.2,,rim,7.806187606,5.020228582,31.26357867,0.261221655,0.088342578,1.694519864,0.520552476,0,0.587187651,47.24181908
PAPN,BU19TS(1),Ore1,BU19TS(1)-rutile1.3,Rutile,core,0.845026424,11.03139951,45.32169794,0.097658022,0,2.844927845,0.963443468,0,1.10447201,62.20862522
PAPN,BU19TS(1),Ore1,BU19TS(1)-rutile1.4,Rutile,core,0.56961354,9.868475435,46.78446174,0.10300172,0.027678664,2.899339034,0.969744603,0,1.419036824,62.64135156
PAPN,BU19TS(1),Ore1,BU19TS(1)-rutile1.5,,core,5.980333555,6.469788874,29.86675915,0.41897692,0.146473803,2.238631747,0.643975948,0,0.602496472,46.36743647
PAPN,BU19TS(1),Ore2,BU19TS(1)-Rut2.1,Rutile,core,0.134742737,5.339623223,52.19788677,0.000542114,0,2.308588989,2.189644246,0,1.433017482,63.60404556
PAPN,BU19TS(1),Ore2,BU19TS(1)-Rut2.2,Rutile,rim,0.136912592,3.971958992,53.53475696,0,0,2.013213967,2.079374392,0,1.405056165,63.14127307
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.1,Rutile,patchy,0.135483663,11.87492895,43.24745092,0.012236295,0,4.943645108,0.579389319,0,4.236139483,65.02927373
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.2,Rutile,core,0.156864678,6.387892813,46.78446174,0.004801584,0,3.909832531,0.93052004,0,5.690127953,63.86450133
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.3,Rutile,rim,3.985124927,10.05683638,37.95392456,0.052739978,0,4.306256903,0.653742706,0,4.802356147,61.8109816
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.4,Rutile,core,0.171577357,5.503415346,46.89836547,0.050803856,0,3.637776589,1.205091977,0,5.906828157,63.37385876
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.5,Rutile,rim,0.135748279,8.57451766,45.08789553,0.008286605,0,4.003108854,0.966987856,0,5.662166636,64.43871142
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.6,Rutile,patchy,0.100448434,8.271502232,46.02310517,0.010687396,0,4.158569392,0.466835304,0,5.319640506,64.35078843
PAPN,BU19TS(2),Ore2,BU19TS(2)-ore2.1,Rutile,rim,0.135854126,18.35290743,37.16858826,0.018122107,0,5.56548726,0.630113452,0,4.760414172,66.6314868
PAPN,BU19TS(2),Ore2,BU19TS(2)-ore2.2,Rutile,core,0.154059743,2.162056029,49.09251117,0.017812327,0,3.23357919,0.995658018,0,7.871110657,63.52678713
PAPN,BU19TS(2),Ore2,BU19TS(2)-ore2.3,Rutile,core,0.150990191,4.504283394,43.74503041,0.025324483,0,4.368441118,1.047563614,0,10.33170653,64.17333973
PAPN,BU19TS(2),Ore2,BU19TS(2)-ore2.4,Rutile,patchy,0.139399987,11.63743037,42.8338005,0.019825895,0,4.858141813,0.625781422,0,4.620607588,64.73498757
PAPN,BU19TS(2),Ore2,BU19TS(2)-ore2.5,Rutile,rim,0.199891326,11.59648234,42.00050473,0.017657438,0,4.865914839,0.680680057,0,4.459830017,63.82096074
PAPN,BU19TS(2),Ore3a,BU19TS(2)-ore3a.1,Rutile,core,0.14183446,5.036607795,44.61429578,0.068538738,0,3.832102262,1.031810778,0,8.535191929,63.26038174
PAPN,BU19TS(2),Ore3a,BU19TS(2)-ore3a.2,Rutile,core,0.220531415,3.890062931,45.73534836,0.026641046,0,4.119704257,1.079069287,0,7.067222801,62.13858009
PAPN,BU19TS(2),Ore3a,BU19TS(2)-ore3a.3,Rutile,rim,0.123364226,5.634449045,44.18266056,0.021684573,0,3.870967396,1.189339141,0,8.668008183,63.69047312
PAPN,BU19TS(2),Ore3b,BU19TS(2)-ore3b.1,Rutile,core,0.1280744,3.07929192,46.80844147,0.025169593,0,3.497862105,0.949187151,0,8.912669705,63.40069634
