Facies,Sample,Area,Comment,Mineral,Texture,Ta,Nb,Sn,Ti,Al,Fe,Mn,Ca,Mg,Sum
SAPN,BU04,Ore2,BU04-Rut2.2,Rutile,rim,0.8844643896913258,0.9866261877361888,0.13735758094512987,8.845526052284406,0.08482949796094365,1.2151293668835066,0.014132676147216696,0.0,0.0,12.168065751648717
SAPN,BU04,Ore2,BU04-Rut2.3,Rutile,core,0.5274948801376013,1.0715254776364216,0.14168698987918488,9.296262743649752,0.08091024515853934,1.0018021395431518,0.0033821312261084276,0.0,0.0,12.123064607230761
SAPN,BU04,Ore2,BU04-Ore2_coltan1 ,,rim,1.1459529909748365,2.1951664419979084,0.13609118398821637,6.316732142429918,0.6230061617566295,1.356798173631821,0.44221986365381066,0.008027484811288338,0.0,12.223994443244429
PAPN,BU19TS(1),Ore1,BU19TS(1)-rutile1.3,Rutile,core,0.6679691384088522,0.13025422687068383,0.08893899744936287,10.367099588810843,0.34315772022644964,0.5581511259244258,0.019476708016645406,0.0,0.0,12.175047505707262
PAPN,BU19TS(1),Ore1,BU19TS(1)-rutile1.4,Rutile,core,0.5867098316170388,0.1643154095912995,0.08789635817589682,10.50752066362853,0.22711786944968848,0.5585050041013496,0.020169708601891607,0.0,0.012251336492526875,12.164486181658221
PAPN,BU19TS(1),Ore2,BU19TS(1)-Rut2.1,Rutile,core,0.29787706132430974,0.15570023311476056,0.1862259576528273,11.000303878093812,0.05041148747685149,0.4172802521167354,9.960907702856261e-05,0.0,0.0,12.107898478856328
PAPN,BU19TS(1),Ore2,BU19TS(1)-Rut2.2,Rutile,rim,0.21889786877082465,0.1508140451446714,0.17470674685302812,11.145458179535606,0.050603186992853974,0.3594855819447116,0.0,0.0,0.0,12.099965609241696
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.1,Rutile,patchy,0.7192360108259809,0.49971453541680105,0.05349966924461584,9.895237726379323,0.05503323386437523,0.970157967570045,0.0024410247785651294,0.0,0.0,12.195320168079707
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.2,Rutile,core,0.37009048764127817,0.6420718970344444,0.08218948169335244,10.239464714824619,0.0609499234800218,0.7339445043769409,0.0009162556777819744,0.0,0.0,12.12962726472844
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.3,Rutile,rim,0.616526499276216,0.5733978429937839,0.06109946795168153,8.789665900706469,1.6384379694438236,0.855352371280698,0.01064908156226895,0.0,0.0,12.54512913321494
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.4,Rutile,core,0.3188781585199016,0.6665890051210591,0.10645176989080021,10.26539118139921,0.06667302447377298,0.6829411338805579,0.009695517726357086,0.0,0.0,12.116619791011658
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.5,Rutile,rim,0.5056559534105695,0.6503384008999564,0.08693740128634488,10.044555086993272,0.053688028697390366,0.7648875467069519,0.0016095479114097545,0.0,0.0,12.107671965905894
PAPN,BU19TS(2),Ore1,BU19TS(2)-ore1.6,Rutile,patchy,0.48389610097105584,0.6061238072223287,0.04163625232332046,10.171124319443457,0.03941019664250785,0.7882544822040055,0.002059308815218436,0.0,0.0,12.132504467621894
PAPN,BU19TS(2),Ore2,BU19TS(2)-ore2.1,Rutile,rim,1.1864067645371719,0.5993559296737232,0.062099442310038284,9.07674469857636,0.05889782711529479,1.16569973517368,0.00385850685334963,0.0,0.0,12.153062904239619
PAPN,BU19TS(2),Ore2,BU19TS(2)-ore2.2,Rutile,core,0.12073925112278248,0.8561086364165157,0.08476800016629862,10.356716664759961,0.05769901542456599,0.5850861253222761,0.0032763028401049344,0.0,0.0,12.064393996052504
PAPN,BU19TS(2),Ore2,BU19TS(2)-ore2.3,Rutile,core,0.26300643255210027,1.174962624234875,0.09325267041935517,9.649275367328318,0.05912717067926471,0.826460143719148,0.0048703827991666525,0.0,0.0,12.070954791732229
PAPN,BU19TS(2),Ore2,BU19TS(2)-ore2.4,Rutile,patchy,0.7082799580554584,0.5477195858703419,0.058064505497571986,9.848266244059038,0.05689947910134992,0.958016105417911,0.003974317002341179,0.0,0.0,12.181220195004013
PAPN,BU19TS(2),Ore2,BU19TS(2)-ore2.5,Rutile,rim,0.7174077856044587,0.5373650881529777,0.06419822930340428,9.815662969902395,0.08293378058401502,0.9753468441512416,0.003597902167545531,0.0,0.0,12.196512599866038
PAPN,BU19TS(2),Ore3a,BU19TS(2)-ore3a.1,Rutile,core,0.2959499997536258,0.9767981509651595,0.09243160180795884,9.903291599562364,0.05589328951458359,0.7295785639727616,0.013264722217755154,0.0,0.0,12.06720792779421
PAPN,BU19TS(2),Ore3a,BU19TS(2)-ore3a.2,Rutile,core,0.2284755090827557,0.8084313309787948,0.09662123109041096,10.147529721375472,0.08686627340311581,0.7839779202908228,0.005153664518861934,0.0,0.0,12.157055650740233
PAPN,BU19TS(2),Ore3a,BU19TS(2)-ore3a.3,Rutile,rim,0.3317725085355157,0.9940759803596189,0.10676646436021602,9.82802198245082,0.04871647754048825,0.7385216288660779,0.0042055389632829464,0.0,0.0,12.052080581076021
PAPN,BU19TS(2),Ore3b,BU19TS(2)-ore3b.1,Rutile,core,0.17581356827253727,0.9911072772317744,0.08262159697368646,10.09603903721715,0.049041252773499945,0.6470814873807827,0.004733251316514376,0.0,0.0,12.046437471165946
PAPN,BU19TS(2),Ore3b,BU19TS(2)-ore3b.2,Rutile,rim,0.16285040139969154,1.0064564921235513,0.08452888140906592,10.085163436384798,0.056381189224512795,0.6509053158205313,0.0018710309468609762,0.0,0.0,12.048156747309013
PAPN,BU19TS(2),Ore3c,BU19TS(2)-ore3c.1,Rutile,core,0.2624364299519343,0.9842141118294153,0.10126199515541186,9.938846798431587,0.0598621302130793,0.7133183583416024,4.450471140481636e-05,0.0,0.0,12.059984328634435
PAPN,BU19TS(2),Ore3c,BU19TS(2)-ore3c.2,Rutile,core,0.34519238430443966,1.152648991061821,0.12888725895598885,9.515658443747798,0.0604408231017647,0.8717216660963764,0.003922255427752911,0.0,0.0,12.078471822695942
PAPN,BU19TS(2),Ore3d,BU19TS(2)-ore3d.1,Rutile,rim,0.18644671711442698,0.6561515886259455,0.08449500587971923,10.478458975672863,0.09724699666181752,0.6204401050959462,0.0012856724552313377,0.0,0.0,12.124525061505953
